1721973758.021890 client started (905): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1721973758.021969 on Darwin 23.4.0 Darwin Kernel Version 23.4.0: Fri Mar 15 00:10:42 PDT 2024; root:xnu-10063.101.17~1/RELEASE_ARM64_T6000
1721973758.021982 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1721973758.023956 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023959 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023962 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023965 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023968 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023971 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023974 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023977 sending message 112 to peer 0x138048000 (8 bytes)
1721973758.023980 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023983 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023986 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023990 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023993 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023996 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023999 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024002 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024005 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024008 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024011 sending message 112 to peer 0x138048000 (8 bytes)
1721973758.024014 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024017 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024020 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024023 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024027 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024030 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024033 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024036 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024039 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024042 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024045 sending message 112 to peer 0x138048000 (8 bytes)
1721973758.024048 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024051 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024054 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024058 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024061 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024064 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024074 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024077 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024080 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024083 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024086 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024089 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024093 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024097 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024101 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024105 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024109 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024113 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024118 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024122 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024126 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024130 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024134 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024138 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024142 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024146 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024150 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024155 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024159 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024163 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024167 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024171 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024175 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024179 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024183 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024187 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024191 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.024196 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024200 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024204 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024209 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024213 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024217 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.024221 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024225 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024229 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024233 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024237 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024241 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024246 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024250 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024256 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.024260 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024264 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024268 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024273 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024277 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024281 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024285 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.024289 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024293 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024297 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024302 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024305 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024310 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024314 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.024327 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024332 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024336 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024341 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024345 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024349 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024353 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.024357 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024361 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024365 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024370 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024374 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024378 sending message 112 to peer 0x138048000 (21 bytes)
1721973758.024382 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024386 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.024390 sending message 112 to peer 0x138048000 (6 bytes)
1721973758.024394 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024398 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024402 sending message 112 to peer 0x138048000 (24 bytes)
1721973758.024406 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024410 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.024414 sending message 112 to peer 0x138048000 (70 bytes)
1721973758.024418 sending message 112 to peer 0x138048000 (69 bytes)
1721973758.024422 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.024426 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024430 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024434 sending message 112 to peer 0x138048000 (24 bytes)
1721973758.024438 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024442 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024446 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024450 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.024454 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.024458 sending message 112 to peer 0x138048000 (15 bytes)
1721973758.024462 sending message 112 to peer 0x138048000 (5 bytes)
1721973758.024467 sending message 104 to peer 0x138048000 (0 bytes)
1721973758.024472 sending message 110 to peer 0x138048000 (0 bytes)
1721973758.024476 sending message 107 to peer 0x138048000 (4 bytes)
1721973758.024480 sending message 105 to peer 0x138048000 (28 bytes)
1721973758.024484 sending message 105 to peer 0x138048000 (77 bytes)
1721973758.024488 sending message 105 to peer 0x138048000 (72 bytes)
1721973758.024492 sending message 105 to peer 0x138048000 (679 bytes)
1721973758.024497 sending message 105 to peer 0x138048000 (60 bytes)
1721973758.024501 sending message 105 to peer 0x138048000 (77 bytes)
1721973758.024505 sending message 105 to peer 0x138048000 (16 bytes)
1721973758.024509 sending message 105 to peer 0x138048000 (20 bytes)
1721973758.024513 sending message 105 to peer 0x138048000 (17 bytes)
1721973758.024517 sending message 105 to peer 0x138048000 (14 bytes)
1721973758.024521 sending message 105 to peer 0x138048000 (42 bytes)
1721973758.024525 sending message 105 to peer 0x138048000 (29 bytes)
1721973758.024529 sending message 105 to peer 0x138048000 (16 bytes)
1721973758.024533 sending message 105 to peer 0x138048000 (92 bytes)
1721973758.024538 sending message 105 to peer 0x138048000 (67 bytes)
1721973758.024542 sending message 105 to peer 0x138048000 (22 bytes)
1721973758.024546 sending message 105 to peer 0x138048000 (79 bytes)
1721973758.024550 sending message 105 to peer 0x138048000 (73 bytes)
1721973758.024554 sending message 105 to peer 0x138048000 (75 bytes)
1721973758.024558 sending message 105 to peer 0x138048000 (12 bytes)
1721973758.024562 sending message 105 to peer 0x138048000 (53 bytes)
1721973758.024566 sending message 105 to peer 0x138048000 (81 bytes)
1721973758.024580 sending message 105 to peer 0x138048000 (20 bytes)
1721973758.024584 sending message 105 to peer 0x138048000 (97 bytes)
1721973758.024588 sending message 105 to peer 0x138048000 (48 bytes)
1721973758.024592 sending message 105 to peer 0x138048000 (24 bytes)
1721973758.024596 sending message 105 to peer 0x138048000 (79 bytes)
1721973758.024600 sending message 105 to peer 0x138048000 (95 bytes)
1721973758.024604 sending message 105 to peer 0x138048000 (19 bytes)
1721973758.024608 sending message 105 to peer 0x138048000 (38 bytes)
1721973758.024612 sending message 105 to peer 0x138048000 (38 bytes)
1721973758.024616 sending message 105 to peer 0x138048000 (79 bytes)
1721973758.024620 sending message 105 to peer 0x138048000 (18 bytes)
1721973758.024629 sending message 105 to peer 0x138048000 (81 bytes)
1721973758.024634 sending message 105 to peer 0x138048000 (89 bytes)
1721973758.024638 sending message 105 to peer 0x138048000 (54 bytes)
1721973758.024642 sending message 105 to peer 0x138048000 (81 bytes)
1721973758.024646 sending message 105 to peer 0x138048000 (13 bytes)
1721973758.024650 sending message 105 to peer 0x138048000 (66 bytes)
1721973758.024654 sending message 105 to peer 0x138048000 (16 bytes)
1721973758.024658 sending message 105 to peer 0x138048000 (57 bytes)
1721973758.024662 sending message 105 to peer 0x138048000 (83 bytes)
1721973758.024666 sending message 105 to peer 0x138048000 (75 bytes)
1721973758.024670 sending message 105 to peer 0x138048000 (8 bytes)
1721973758.024674 sending message 105 to peer 0x138048000 (29 bytes)
1721973758.024678 sending message 105 to peer 0x138048000 (20 bytes)
1721973758.024682 sending message 105 to peer 0x138048000 (77 bytes)
1721973758.024686 sending message 105 to peer 0x138048000 (12 bytes)
1721973758.024690 sending message 105 to peer 0x138048000 (81 bytes)
1721973758.024694 sending message 106 to peer 0x138048000 (0 bytes)
1721973758.024759 sending message 200 to peer 0x138048000 (4 bytes)
1721973758.024765 client loop enter
1721973758.052478 peer 0x138048000 message 207
1721973758.052508 sending message 208 to peer 0x138048000 (0 bytes)
1721973763.146582 peer 0x138048000 message 203
1721973763.146602 sending message 205 to peer 0x138048000 (0 bytes)
1721973763.147304 peer 0x138048000 message 204
1721973763.147313 client loop exit
